"issue","subject","company","response","product_area","status","request_type","justification","confidence_score","source_documents","risk_level","pii_detected","language","actions_taken"
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]","Claude access lost","Claude","Access to a Claude Team workspace is managed by your workspace owner or admin. We are unable to restore seats on behalf of non-admin users. Please contact your IT administrator or workspace owner directly to have your seat reinstated.","account_access","Replied","product_issue","User requests seat restoration but is not a workspace owner or admin. Advising user to contact their admin.","0.92","data/claude/teams/workspace-admin.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]","Test Score Dispute","DevPlatform","We understand this is disappointing. DevPlatform support cannot review individual candidate answers, modify scores, or intervene in hiring decisions. Assessment results are solely at the discretion of the company that invited you.","assessment","Replied","product_issue","Candidate requests score modification which is outside support scope. Corpus confirms hiring decisions belong to employer.","0.93","data/devplatform/assessment/score-disputes.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]","Help","Visa","For a dispute involving wrong item received, initiate a chargeback through your card-issuing bank. Contact your bank and report that the merchant delivered the wrong product and is unresponsive. Your bank will raise the claim with the merchant's bank. Visa does not process disputes directly with cardholders.","dispute","Replied","product_issue","User wants direct Visa refund and seller ban. Corpus confirms disputes go through issuing bank.","0.91","data/visa/disputes/chargeback-process.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]","Why are my mock interviews not working","DevPlatform","We are sorry your mock interview was interrupted. To process a refund, we need your account email, the date and time of the session, and any error messages you saw. Our billing team will review your case within 1-2 business days.","billing","Escalated","product_issue","Refund request requires account verification and billing team review. Insufficient details provided.","0.82","data/devplatform/billing/refund-policy.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]","Give me my money","DevPlatform","Thank you for reaching out regarding order ID cs_live_abcdefgh. To investigate, please provide your registered email address and we will look into the transaction status.","billing","Escalated","product_issue","Payment dispute with Stripe order ID but no details. Requires account verification and billing lookup.","0.8","data/devplatform/billing/payment-issues.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]","Using DevPlatform for hiring","DevPlatform","Welcome! For infosec questionnaires and vendor assessments, please contact our sales team at sales@devplatform.com. They can connect you with our Trust and Security team who provide SOC 2 Type II reports and DPAs.","enterprise_sales","Replied","product_issue","Prospect asking for infosec support. Standard pre-sales security review request.","0.85","data/devplatform/security/infosec-review.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice submissions not working","DevPlatform","The Apply tab visibility depends on your account type and challenge status. Try logging out and back in, or clearing your browser cache. If the issue persists, please share a screenshot and your account email.","community","Replied","product_issue","User cannot see Apply tab. Corpus explains visibility is conditional on challenge status.","0.83","data/devplatform/community/apply-tab.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]","Issue while taking the test","DevPlatform","We are sorry submissions are failing across all challenges. This may indicate a platform issue. Please provide your account email, browser/OS, and any error messages. We will escalate to engineering.","screen","Escalated","bug","Reported issue affects all submissions site-wide suggesting potential outage or widespread bug.","0.87","","high","False","en","[]"
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]","I am facing an blocker while doing compatible check","DevPlatform","Zoom connectivity errors during compatibility check can occur due to firewall restrictions. Try: (1) Ensure Zoom is up to date. (2) Check firewall settings allow Zoom. (3) Try a different network or disable VPN. (4) If it persists, contact the hiring company for alternative assessment methods.","screen","Replied","product_issue","Zoom compatibility failure during proctored test. Corpus covers common connectivity issues.","0.88","data/devplatform/proctoring/compatibility-check.md","low","False","en","[]"
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.""}]","","DevPlatform","Rescheduling requests must be made directly with the company that sent you the test invitation. Please reply to the original invitation email or contact the recruiter who sent you the test link.","assessment","Replied","product_issue","Candidate requests rescheduling. Corpus confirms rescheduling is controlled by hiring company.","0.94","data/devplatform/candidates/rescheduling.md","low","False","en","[]"
