issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]","Claude access lost","Claude","Access to a Claude Team workspace is managed by your workspace owner or admin. We are unable to restore seats on behalf of non-admin users. Please contact your IT administrator or workspace owner directly to have your seat reinstated. If you believe this was done in error, they can log in to the workspace admin panel to add you back.","account_access","replied","product_issue","User requests seat restoration but is not a workspace owner or admin. Corpus confirms workspace access changes must be made by admins. Advising user to contact their admin is the correct response.",0.92,"data/claude/teams/workspace-admin.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]","Test Score Dispute","DevPlatform","We understand this is disappointing. However, DevPlatform support is unable to review individual candidate answers, modify scores, or intervene in hiring decisions made by the recruiting company. Assessment results and hiring decisions are solely at the discretion of the company that invited you to the test. If you believe there was a technical issue during your test (e.g., a crash or submission error), please provide the specific details so we can investigate.","assessment","replied","product_issue","Candidate requests score modification and hiring reversal, which is outside the scope of platform support. Corpus confirms hiring decisions belong to the employer. Response clarifies scope while leaving a door open for legitimate technical issues.",0.93,"data/devplatform/assessment/score-disputes.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]","Help","Visa","For a dispute involving a wrong item received from a merchant, you should initiate a chargeback through your card-issuing bank (not Visa directly). Contact your bank and report that the merchant delivered the wrong product and is unresponsive — this qualifies as a dispute under Visa's dispute resolution program. Your bank will raise the claim with the merchant's acquiring bank. Visa does not process disputes directly with cardholders; your issuing bank is the correct point of contact.","dispute","replied","product_issue","User wants a direct Visa refund and seller ban. Corpus confirms disputes go through the issuing bank, not Visa directly. Banning merchants from Visa's network is not a cardholder-initiated action.",0.91,"data/visa/disputes/chargeback-process.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]","Why are my mock interviews not working","DevPlatform","We are sorry to hear your mock interview was interrupted. To process a refund or investigate the interruption, we need more information. Please provide your account email, the date and time of the session, and any error messages you saw. Our billing team will review your case and get back to you within 1-2 business days.","billing","escalated","product_issue","Refund request for interrupted mock interview requires account verification and billing team review. Insufficient details provided to process the refund directly.",0.82,"data/devplatform/billing/refund-policy.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]","Give me my money","DevPlatform","Thank you for reaching out regarding your payment issue with order ID cs_live_abcdefgh. To investigate this, we will need to verify your account identity. Please provide your registered email address and we will look into the transaction status and get back to you promptly.","billing","escalated","product_issue","Payment dispute with a Stripe order ID provided but no further details. Requires account verification and billing team lookup to investigate.",0.8,"data/devplatform/billing/payment-issues.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]","Using DevPlatform for hiring","DevPlatform","Welcome! We would be happy to support your security review process. For infosec questionnaires and vendor assessments, please contact our sales or customer success team who can connect you with our Trust and Security team. They can provide documentation such as our SOC 2 Type II report, data processing agreements, and answer specific infosec questionnaire items. Please reach out to sales@devplatform.com with your requirements.","enterprise_sales","replied","product_issue","Prospect asking for infosec support for onboarding. Standard pre-sales security review request. Directing to appropriate team.",0.85,"data/devplatform/security/infosec-review.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working","DevPlatform","The Apply tab visibility depends on your account type and the challenge status. If you are on the DevPlatform community (practice) platform, the Apply tab appears only when a challenge is open for applications. If you believe it should be visible, try logging out and back in, or clearing your browser cache. If the issue persists, please share a screenshot of what you see and your account email so we can investigate further.","community","replied","product_issue","User cannot see Apply tab. Corpus explains visibility is conditional on challenge status and account type. Standard troubleshooting guidance provided.",0.83,"data/devplatform/community/apply-tab.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]","Issue while taking the test","DevPlatform","We are sorry to hear submissions are failing across all challenges. This may indicate a platform issue on our end. Could you please provide: your account email, the browser and OS you are using, and any error messages shown. We will escalate to our engineering team to investigate immediately.","screen","escalated","bug","Reported issue affects all submissions site-wide, suggesting a potential platform outage or widespread bug. Requires engineering investigation.",0.87,"","high",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]","I am facing an blocker while doing compatible check","DevPlatform","Zoom connectivity errors during the compatibility check can occur due to firewall or network restrictions. Please try the following: (1) Ensure Zoom is installed and up to date. (2) Check that your firewall or corporate network allows Zoom connections. (3) Try switching to a personal hotspot or a different network. (4) Disable VPN if active. If the issue persists, please contact the company that sent you the test link to request an alternative assessment method or a rescheduled attempt.","screen","replied","product_issue","Zoom compatibility check failure during proctored test. Corpus covers common connectivity issues and recommended steps. User has already tried basic steps so escalation path to the hiring company is also provided.",0.88,"data/devplatform/proctoring/compatibility-check.md","low",False,"en","[]"
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]","","DevPlatform","Rescheduling requests for assessments must be made directly with the company that sent you the test invitation — DevPlatform support is unable to reschedule on behalf of hiring companies. Please reply to the original invitation email or contact the recruiter who sent you the test link to request a new date and time.","assessment","replied","product_issue","Candidate requests rescheduling. Corpus confirms rescheduling is controlled by the hiring company, not DevPlatform support.",0.94,"data/devplatform/candidates/rescheduling.md","low",False,"en","[]"
